Vardas         Pavarde        ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas5664     Pavarde5664    3      4      9      8      0      1      4      3      9      3      0      9      5      3      7      9      
Vardas5665     Pavarde5665    5      7      5      1      7      8      8      10     10     2      3      2      7      10     3      4      
Vardas5666     Pavarde5666    4      5      9      7      1      3      6      4      3      7      1      9      8      6      1      3      
Vardas5667     Pavarde5667    4      8      10     9      7      7      10     5      4      2      8      4      5      2      8      8      
Vardas5668     Pavarde5668    6      10     5      5      5      9      7      3      8      0      10     6      2      2      7      5      
Vardas5669     Pavarde5669    8      5      0      0      0      7      2      2      8      2      9      8      8      0      7      0      
Vardas5670     Pavarde5670    8      6      10     1      2      1      2      10     6      4      5      8      8      8      7      10     
Vardas5671     Pavarde5671    3      9      10     7      0      5      7      0      4      10     6      10     1      5      9      0      
Vardas5672     Pavarde5672    10     8      10     2      4      2      5      7      7      6      10     4      6      8      0      10     
Vardas5673     Pavarde5673    1      3      8      2      5      6      10     7      8      8      8      10     5      6      3      9      
Vardas5674     Pavarde5674    7      5      8      5      0      6      2      8      3      3      8      6      2      0      3      5      
Vardas5675     Pavarde5675    4      0      8      10     3      4      3      6      8      1      0      1      10     2      9      3      
Vardas5676     Pavarde5676    5      7      6      0      2      8      2      6      0      9      2      8      5      2      5      8      
Vardas5677     Pavarde5677    3      0      5      7      7      1      6      1      9      8      4      5      7      1      7      2      
Vardas5678     Pavarde5678    2      3      9      7      6      4      1      8      3      3      9      2      5      8      0      5      
Vardas5679     Pavarde5679    2      2      4      6      2      2      7      1      5      1      2      8      5      3      2      4      
Vardas5680     Pavarde5680    5      7      3      7      0      2      3      5      6      6      2      9      7      0      5      0      
Vardas5681     Pavarde5681    2      2      0      3      8      8      2      1      6      10     7      1      6      1      3      1      
Vardas5682     Pavarde5682    8      9      9      2      8      4      6      0      5      10     5      0      3      7      7      6      
Vardas5683     Pavarde5683    9      6      2      2      9      1      6      6      1      4      5      6      6      1      6      6      
Vardas5684     Pavarde5684    1      4      5      3      7      1      8      5      2      6      7      5      5      4      7      0      
Vardas5685     Pavarde5685    1      7      4      1      0      0      2      0      10     8      7      9      6      8      3      5      
Vardas5686     Pavarde5686    3      8      5      9      9      1      0      6      0      7      3      3      4      3      2      9      
Vardas5687     Pavarde5687    6      0      1      3      0      5      1      10     10     7      4      2      8      5      8      5      
Vardas5688     Pavarde5688    0      5      0      7      8      5      0      2      4      4      10     3      6      4      7      1      
